PROVINCIA,aab,SUPERFICIE,DESEMPLEO,PRECIPIT,VE TO,VE MO,POP,MOTOR,CONDUCTORES_MASC,CONDUCTORES_FEM,CONDUCTORES_TOT,ING_CIVIL_ÍNDICE,PIB_CAP,IPC,MUERTOS,HG,HL,ACC,COD_PENAL,DPS_MOD,VELOCIDAD_MOD,ITV_MOD,INFRACCIONES,VEL_MOTORWA,VEL_RURAL,PTW_VKM,LIGEROS_VKM,PESADOS_VKM,EDAD_MEDIANA,GAS_PRECIO_CORR,GAS_PRECIO_CTE,RCE_MOTORWA,RCE_RURAL,RCE_TOTAL,RCE_PROP_MOTORWA,INV_CONS,INV_MAINT,INV_CONS_KM,INV_MAINT_KM,MAINT_T2_200,STOCK_T10_150,STOCK_T10_175,STOCK_T10_200,STOCK_T10_225,STOCK_T10_250,STOCK_T5_200,STO9_200,STO8_200,STO9_100,STO9_300,CAP10_200,CAP9_200,CAP8_200,CAP9_100,CAP9_300
1,2006,8775,9.265,275.5,431491,29564,646633,667.288864,185293,112313,297606,84.31248223,19723,86.29,4,30,56,75,0,0,0,0,0,19.68,12,1,0,0,34.72,102.12,118.3451153,218,174,392,55.6122449,112680.8243,14366.79324,287.4510825,36.64998276,46031.84712,547946.5974,541938.2734,536027.9542,530214.0135,524494.8499,338105.8739,453838.5007,432740.4369,469291.9892,439156.9901,672563.2826,580859.0453,536415.1623,602110.3373,560703.2948
1,2007,8775,11.445,210.2,455500,32981,667635,682.2590188,189423,116929,306352,89.65744102,20873,88.75,2,29,26,44,0,0,0,0,70138,20.6,12.45,11.5,1779.1,273.6,35.09,103.65,116.7887324,243,139,382,63.61256545,31600.27732,11963.30152,82.72323907,31.31754324,44548.20962,486144.4914,481219.7056,476362.0081,471570.4113,466843.9419,324087.1724,455685.9055,406258.8087,473313.875,438921.9723,612805.4432,569250.4379,511747.8139,591443.6866,548136.5339
1,2008,8775,19.3925,203.2,465167,35216,684426,679.6454255,203992,123578,327570,94.10446017,20844,92.41,0,12,23,29,1,0,0,0,61949,18.92,9.54,8.1,1639.1,259.9,35.41,111.25,120.387404,236,134,370,63.78378378,371.9271109,19958.69799,1.005208408,53.942427,45480.60171,457795.0265,452331.8063,446944.1145,441630.8193,436390.8052,282645.0275,398505.5597,381013.3577,415338.1503,382409.5009,578196.0542,521843.4827,497749.2578,543485.6835,501163.7693
1,2009,8775,26.5725,261.7,467857,36337,695560,672.6335614,206303,126779,333082,94.4134719,19032,92.19,1,8,6,13,1,0,0,0,62457,15.71,12.23,26.3,1589.2,222.9,35.72,99.17,107.5713201,236,134,370,63.78378378,1079.295125,18346.32775,2.917013852,49.5846696,49395.40656,401804.4788,396676.3296,391614.7436,386618.8363,381687.7345,240193.0664,374472.3857,350015.2337,393289.9394,356545.199,530832.2359,507219.8956,477560.0452,531340.985,484243.8819
1,2010,8775,28.0125,360.7,471693,37181,702819,671.1443487,207228,128699,335927,95.59459269,18479,94.08,3,5,17,22,0,1,0,0,54114,17.08,12.3,28,1552.6,206.2,36.17,116.06,123.3630952,236,134,370,63.78378378,302.318355,14960.58993,0.817076635,40.43402683,52108.32467,378312.9659,372759.8274,367285.2564,361888.1678,356567.4911,213280.0507,343317.2474,306745.4804,363130.2198,324519.5663,512338.4059,483271.7526,434383.287,509117.8789,458746.2527
1,2011,8775,33.505,145.4,475169,38034,704219,674.7460662,209990,132073,342063,99.38407475,17167,96.94,0,7,17,18,0,1,1,0,63048,13.36,12.31,16.6,1546.8,206.4,36.67,132.41,136.5896431,236,134,370,63.78378378,224.3820255,7084.829755,0.606437907,19.14818853,39366.02106,348021.6155,342304.6716,336675.2845,331132.1944,325674.1584,132908.8941,300834.9528,267580.4478,320053.2075,282661.7637,480915.5293,433004.833,388411.2343,458305.6622,409052.7401
1,2012,8775,35.315,177.3,477576,38396,699329,682.9060428,211834,134117,345951,100.806487,16909,99.31,0,7,19,22,0,1,0,0,60390,15.4,15.24,10.782311,1462.693259,195.705248,37.24,142.33,143.3189004,233.62,136.26,369.88,63.1610252,1095.525832,13700.08063,2.961841225,37.03925767,35011.36435,306751.0101,301288.0632,295913.7796,290626.8541,285425.9992,31528.79229,263324.3646,227673.5593,281876.4063,245864.8548,439140.3428,395438.616,349952.4462,420146.6863,372135.1045
1,2013,8775,36.055,140.5,475441,38544,701688,677.5675229,213312,135570,348882,101.3001168,16637,100.83,1,6,23,27,0,1,0,0,66729,16.64,11.14,10.112685,1425.413712,189.804549,37.76,143.71,142.5270257,232.81,140.06,372.87,62.43731059,1122.964634,7475.150691,3.011678694,20.04760558,27705.5002,269496.2331,264293.1321,259180.842,254157.9526,249223.0729,4028.316174,224243.0527,203149.5539,241509.4995,208079.8383,396127.959,351551.5126,319361.6845,375203.6201,329338.0553
1,2014,8775,35.5975,126.6,479335,39479,701211,683.5816894,210216,137374,347590,101.784194,17392,100.63,1,2,12,14,0,0,0,0,59144,16.72,11.78,10.854448,1412.827016,199.654124,38.31,139.55,138.6763391,232,140,372,62.3655914,1658.610617,9882.426786,4.458630691,26.5656634,30365.6319,230902.0105,226114.441,221416.8023,216807.6034,212285.3745,5276.89167,200745.1735,128904.0468,217872.4952,184839.506,356061.5197,324515.4882,236609.3073,348075.7018,302528.0431
1,2015,8775,28.99,255,487361,40466,704297,691.9822177,211149,139534,350683,100.0004344,18590,100,1,2,6,8,0,0,0,0,51233,16.34,13.82,11.17794,1556.143565,218.282091,38.84,123.91,123.91,232.81,140.06,372.87,62.43731059,611.2624886,9613.70116,1.639344781,25.78298378,26477.61413,206625.1549,201934.728,197341.5325,192843.7726,188439.6818,4826.530962,126937.2283,32989.8432,138377.5945,116364.3272,328250.1421,242102.0848,136176.4179,259466.3999,225926.8653
